Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,パッケージのタイプ (product.metafields.shopify.package-type),製品認証および規格 (product.metafields.shopify.product-certifications-standards),製品形態 (product.metafields.shopify.product-form),スキンケア効果 (product.metafields.shopify.skin-care-effect),肌質に適している (product.metafields.shopify.suitable-for-skin-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fluxor-gentle-cleanser,Fluxor ジェントルクレンザー,"<p>敏感肌にも優しい低刺激性クレンザー。メイクと汚れを穏やかに除去しながら、肌の自然なバリア機能を保護します。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,スキンケア,"cleanser, daily-care, gentle, sensitive-skin",true,Title,Default Title,,,,,,,,FLX-GC-120,120.0,shopify,50,deny,manual,3200,4200,TRUE,TRUE,120.0,g,100,g,,,,,FALSE,Fluxor ジェントルクレンザー | 敏感肌用洗顔料,肌に優しい低刺激性クレンザー。敏感肌の方にも安心してお使いいただけます。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,cleanser,gentle-cleansing; daily-use,sensitive-skin; all-skin-types,,g,,,active
fluxor-foaming-wash,Fluxor フォーミングウォッシュ,"<p>豊かな泡で毛穴の奥まで洗浄するフォーミングウォッシュ。余分な皮脂と汚れを取り除き、清潔でさっぱりとした肌に整えます。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,スキンケア,"foaming, wash, pore-care, oil-control",true,Title,Default Title,,,,,,,,FLX-FW-150,150.0,shopify,75,deny,manual,2800,3600,TRUE,TRUE,150.0,g,100,g,,,,,FALSE,Fluxor フォーミングウォッシュ | 毛穴ケア洗顔料,毛穴の奥まで洗浄するフォーミングウォッシュ。余分な皮脂をすっきり除去。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,cleanser,pore-care; oil-control,oily-skin; combination-skin,,g,,,active
fluxor-exfoliating-scrub,Fluxor エクスフォリエイティングスクラブ,"<p>古い角質を優しく取り除くエクスフォリエイティングスクラブ。肌のターンオーバーを促進し、なめらかで輝く肌へ導きます。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,スキンケア,"exfoliant, scrub, renewal, smooth-skin",true,Title,Default Title,,,,,,,,FLX-ES-100,100.0,shopify,30,deny,manual,4500,5800,TRUE,TRUE,100.0,g,100,g,,,,,FALSE,Fluxor エクスフォリエイティングスクラブ | 角質ケア,古い角質を除去して肌のターンオーバーを促進。なめらかな肌へ。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,scrub,exfoliation; skin-renewal,all-skin-types; normal-skin,,g,,,active
fluxor-micellar-water,Fluxor ミセラーウォーター,"<p>メイクと汚れを一度で除去するミセラーウォーター。肌を擦らずに優しくクレンジングでき、化粧水代わりにも使用できます。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Makeup Removers,スキンケア,"micellar, makeup-remover, gentle, no-rinse",true,Title,Default Title,,,,,,,,FLX-MW-400,400.0,shopify,100,deny,manual,2200,2800,TRUE,TRUE,400.0,ml,100,ml,,,,,FALSE,Fluxor ミセラーウォーター | やさしいメイク落とし,肌を擦らず優しくメイクを落とすミセラーウォーター。洗い流し不要。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,micellar-water,gentle-cleansing; makeup-removal,sensitive-skin; all-skin-types,,ml,,,active
fluxor-vitamin-c-serum,Fluxor ビタミンCセラム,"<p>高濃度ビタミンC配合の美容液。抗酸化作用により肌のハリと透明感をサポートし、シミ・くすみにアプローチします。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,スキンケア,"vitamin-c, serum, anti-aging, brightening",true,Title,Default Title,,,,,,,,FLX-VC-30,30.0,shopify,40,deny,manual,8800,11000,TRUE,TRUE,30.0,ml,10,ml,,,,,FALSE,Fluxor ビタミンCセラム | 高濃度美容液,高濃度ビタミンC配合で肌のハリと透明感をサポート。エイジングケア美容液。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,serum,anti-aging; brightening,all-skin-types; mature-skin,,ml,,,active
fluxor-niacinamide-serum,Fluxor ナイアシンアミド美容液,"<p>毛穴の目立ちと皮脂バランスを整えるナイアシンアミド配合美容液。肌のキメを整え、健康的な肌状態をサポートします。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,スキンケア,"niacinamide, serum, pore-care, oil-balance",true,Title,Default Title,,,,,,,,FLX-NA-30,30.0,shopify,60,deny,manual,6600,8200,TRUE,TRUE,30.0,ml,10,ml,,,,,FALSE,Fluxor ナイアシンアミド美容液 | 毛穴ケア,毛穴とテカリをケアするナイアシンアミド配合美容液。肌のキメを整えます。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,serum,pore-care; oil-balance,oily-skin; combination-skin,,ml,,,active
fluxor-retinol-treatment,Fluxor レチノール トリートメント,"<p>エイジングケアに特化したレチノール配合トリートメント。肌のターンオーバーを促進し、ハリと弾力のある若々しい肌へ導きます。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Anti-Aging Skin Care,スキンケア,"retinol, anti-aging, treatment, renewal",true,Title,Default Title,,,,,,,,FLX-RT-30,30.0,shopify,25,deny,manual,12800,15600,TRUE,TRUE,30.0,ml,10,ml,,,,,FALSE,Fluxor レチノール トリートメント | エイジングケア,レチノール配合でハリ弾力をサポート。本格的なエイジングケア美容液。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,serum,anti-aging; skin-renewal,mature-skin; dry-skin,,ml,,,active
fluxor-hydration-serum,Fluxor ハイドレーションセラム,"<p>ヒアルロン酸配合の高保湿美容液。肌の水分バランスを整え、ぷるぷるとしたハリのある肌をキープします。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,スキンケア,"hydration, hyaluronic-acid, serum, moisturizing",true,Title,Default Title,,,,,,,,FLX-HS-50,50.0,shopify,55,deny,manual,7400,9200,TRUE,TRUE,50.0,ml,10,ml,,,,,FALSE,Fluxor ハイドレーションセラム | 高保湿美容液,ヒアルロン酸配合でうるおいをキープ。乾燥肌におすすめの保湿美容液。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,serum,hydration; moisturizing,dry-skin; all-skin-types,,ml,,,active
fluxor-day-cream-spf30,Fluxor デイクリーム SPF30,"<p>SPF30の紫外線カット機能付きデイクリーム。日中の肌を環境ダメージから守りながら、しっかりと保湿します。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,スキンケア,"day-cream, spf, sun-protection, moisturizer",true,Title,Default Title,,,,,,,,FLX-DC-50,50.0,shopify,80,deny,manual,5500,7000,TRUE,TRUE,50.0,g,10,g,,,,,FALSE,Fluxor デイクリーム SPF30 | UVケア保湿クリーム,SPF30で紫外線をカット。日中の肌を守る保湿クリーム。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,cream,sun-protection; moisturizing,all-skin-types; normal-skin,,g,,,active
fluxor-night-repair-cream,Fluxor ナイトリペア クリーム,"<p>夜間の肌修復をサポートするナイトクリーム。睡眠中に肌の回復力を高め、朝には弾力とハリのある肌へ。</p>",Fluxor,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,スキンケア,"night-cream, repair, anti-aging, recovery",true,Title,Default Title,,,,,,,,FLX-NC-50,50.0,shopify,45,deny,manual,9200,11800,TRUE,TRUE,50.0,g,10,g,,,,,FALSE,Fluxor ナイトリペア クリーム | 夜用エイジングケア,夜間の肌修復をサポート。睡眠中にハリ弾力をケアするナイトクリーム。,shopify--package-type-2d0ncjil,shopify--product-certifications-standards-udtdfluh; shopify--product-certifications-standards-gaqov1oi; shopify--product-certifications-standards-sftosnrc; shopify--product-certifications-standards-nvohmncx; shopify--product-certifications-standards-0bcvibwx; shopify--product-certifications-standards-bszg8cet,cream,anti-aging; night-repair,mature-skin; dry-skin,,g,,,active
